plan_id,data_id,outCardinality_count,outCardinality_mean,outCardinality_std,outCardinality_min,outCardinality_10%,outCardinality_50%,outCardinality_90%,outCardinality_max,outCardinality_kurtosis,outCardinality_skew,complexity_mean,complexity_std,complexity_min,complexity_max,selectivity_mean,selectivity_min,selectivity_max,sourceCardinalitySum,sourceCardinalityProd,sourceOutCard_mean,sourceOutCard_std,sourceOutCard_min,sourceOutCard_max,joinOutCard_mean,joinOutCard_std,joinOutCard_min,joinOutCard_max,joinOutCard_sum,joinOutCard_prod,groupbyOutCard_mean,groupbyOutCard_std,groupbyOutCard_min,groupbyOutCard_max,filterOutCard_mean,filterOutCard_std,filterOutCard_min,filterOutCard_max,tables,t_0,t_1,t_2,t_3,t_4,data_size,netRunTime,Data Sink,Data Source,Join,Map,Reduce,n_nodes,n_edges,longest_path_len,avg_parallelism,Network,Disk I/O,CPU,Cumulative Network,Cumulative Disk I/O,Cumulative CPU,Filter,Group by,Sort-Partition,Partition,Log_netRunTime,Log_sourceCardinalitySum
Job4v14,3GB,9.0,87.0,99.63056759850362,1.0,1.0,6.0,192.0,192.0,-1.9489945992419444,0.22247060309306887,1283.3333333333333,1102.739014152185,10.0,1920.0,1.0,1.0,1.0,192,192.0,192.0,0.0,192.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['title.principals'],0.0,0.0,0.0,36499704.0,0.0,3.0,13888,1,1,0.0,3,4.0,9,8,8,11.0,0.0,200.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,9.538780436900131,5.2574953720277815
Job4v15,3GB,9.0,50.111111111111114,52.31501802648175,1.0,1.0,14.0,105.0,105.0,-1.9268717140007472,0.19625719221719973,703.3333333333334,600.4442799572108,10.0,1050.0,1.0,1.0,1.0,105,105.0,105.0,0.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['title.akas'],0.0,19344171.0,0.0,0.0,0.0,3.0,10063,1,1,0.0,3,4.0,9,8,8,11.0,0.0,110.64625,0.0,0.0,885.17,0.0,0.0,0.0,0.0,0.0,9.216620609933333,4.653960350157523
Job4v16,3GB,9.0,17.22222222222222,17.852015136797426,1.0,1.0,4.0,36.0,36.0,-1.9391314366376908,0.21099613501541875,243.33333333333334,202.072594216369,10.0,360.0,1.0,1.0,1.0,36,36.0,36.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['title.basics'],0.0,0.0,6326545.0,0.0,0.0,3.0,4671,1,1,0.0,3,4.0,9,8,8,11.0,0.0,67.1975,0.0,0.0,537.58,0.0,0.0,0.0,0.0,0.0,8.449128460502108,3.58351893845611
Job4v17,3GB,9.0,56099.88888888889,66517.98378905596,1.0,1.0,16.0,126216.0,126216.0,-1.9499999794064198,0.22360677472456153,841443.3333333334,728702.6422576861,10.0,1262160.0,1.0,1.0,1.0,126216,126216.0,126216.0,0.0,126216.0,126216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['name.basics'],9711022.0,0.0,0.0,0.0,0.0,3.0,6883,1,1,0.0,3,4.0,9,8,8,11.0,0.0,72.4975,0.0,0.0,579.98,0.0,0.0,0.0,0.0,0.0,8.836809882398365,11.74575000393729
Job4v18,3GB,9.0,367.8888888888889,428.001005969742,1.0,1.0,16.0,819.0,819.0,-1.9495075077616255,0.2230520517550716,5463.333333333333,4722.725201971139,10.0,8190.0,1.0,1.0,1.0,819,819.0,819.0,0.0,819.0,819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['title.ratings'],0.0,0.0,0.0,0.0,993821.0,3.0,1911,1,1,0.0,3,4.0,9,8,8,11.0,0.0,2.11375,0.0,0.0,16.91,0.0,0.0,0.0,0.0,0.0,7.555381944240273,6.70808408385307
Job4v19,3GB,9.0,87.0,99.63056759850362,1.0,1.0,6.0,192.0,192.0,-1.9489945992419444,0.22247060309306887,1283.3333333333333,1102.739014152185,10.0,1920.0,1.0,1.0,1.0,192,192.0,192.0,0.0,192.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['title.principals'],0.0,0.0,0.0,36499704.0,0.0,3.0,13366,1,1,0.0,3,4.0,9,8,8,11.0,0.0,200.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,9.500469448071016,5.2574953720277815
Job4v2,3GB,9.0,56099.88888888889,66517.98378905596,1.0,1.0,16.0,126216.0,126216.0,-1.9499999794064198,0.22360677472456153,841443.3333333334,728702.6422576861,10.0,1262160.0,1.0,1.0,1.0,126216,126216.0,126216.0,0.0,126216.0,126216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['name.basics'],9711022.0,0.0,0.0,0.0,0.0,3.0,7512,1,1,0.0,3,4.0,9,8,8,11.0,0.0,72.4975,0.0,0.0,579.98,0.0,0.0,0.0,0.0,0.0,8.9242570208881,11.74575000393729
Job4v3,3GB,9.0,408.3333333333333,475.95824396684213,1.0,1.0,16.0,910.0,910.0,-1.94960134629744,0.22315809231570716,6070.0,5248.113946933699,10.0,9100.0,1.0,1.0,1.0,910,910.0,910.0,0.0,910.0,910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['title.ratings'],0.0,0.0,0.0,0.0,993821.0,3.0,2031,1,1,0.0,3,4.0,9,8,8,11.0,0.0,2.11375,0.0,0.0,16.91,0.0,0.0,0.0,0.0,0.0,7.616283561580385,6.813444599510896
Job4v4,3GB,9.0,3665511.888888889,4346754.083768124,1.0,1.0,16.0,8247393.0,8247393.0,-1.949999999995177,0.22360679774458678,54982623.333333336,47616339.91312366,10.0,82473930.0,1.0,1.0,1.0,8247393,8247393.0,8247393.0,0.0,8247393.0,8247393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['title.principals'],0.0,0.0,0.0,36499704.0,0.0,3.0,17321,1,1,0.0,3,4.0,9,8,8,11.0,0.0,200.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,9.75967491717028,15.925407708372344
Job4v5,3GB,9.0,1735.888888888889,2050.2182471900674,1.0,1.0,16.0,3897.0,3897.0,-1.949978365784376,0.2235825725502032,25983.333333333332,22493.56648762782,10.0,38970.0,1.0,1.0,1.0,3897,3897.0,3897.0,0.0,3897.0,3897.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['title.akas'],0.0,19344171.0,0.0,0.0,0.0,3.0,9636,1,1,0.0,3,4.0,9,8,8,11.0,0.0,110.64625,0.0,0.0,885.17,0.0,0.0,0.0,0.0,0.0,9.173261363734762,8.26796230533871
